"Taxon_Shortname","LBL","CI_ID_low","CI_ID_high","Var.Exp","Var.Exp.NR"
"g__Methanobrevibacter","",0,0.21,"Cohousing",0.040422801
"g__Barnesiella","",0,0.23,"Cohousing",0.162012581
"g__Parasutterella","",0,0.22,"Cohousing",0.16736831
"g__Peptostreptococcaceae_noname","",0,0.2,"Cohousing",2.08e-10
"g__Butyrivibrio","",0,0.25,"Cohousing",0.114283893
"g__Pseudoflavonifractor","*",0,0.23,"Cohousing",1.72e-10
"g__Lachnospiraceae_noname","*",0,0.22,"Cohousing",0.040379413
"g__Collinsella","*",0,0.24,"Cohousing",0.056482273
"g__Burkholderiales_noname","*",0,0.24,"Cohousing",0.208571231
"g__Erysipelotrichaceae_noname","*",0,0.24,"Cohousing",0.089932918
"g__Klebsiella","*",0,0.25,"Cohousing",0.112060585
"g__Parabacteroides","*",0,0.26,"Cohousing",0.088018984
"g__Sutterellaceae_unclassified","*",0,0.25,"Cohousing",0.174946789
"g__Haemophilus","*",0,0.22,"Cohousing",0.068216235
"g__Catenibacterium","*",0,0.25,"Cohousing",0.108477878
"g__Ruminococcus","*",0.02,0.27,"Cohousing",0.046551566
"g__Faecalibacterium","*",0,0.25,"Cohousing",0.084148225
"g__Dialister","*",0,0.27,"Cohousing",0.15671509
"g__Mitsuokella","*",0,0.27,"Cohousing",0.329242433
"g__Paraprevotella","*",0,0.28,"Cohousing",0.293194169
"g__Eggerthella","*",0,0.3,"Cohousing",0.121295156
"g__Escherichia","*",0.03,0.29,"Cohousing",0.026083993
"g__Sutterella","*",0.02,0.29,"Cohousing",0.239049955
"g__Holdemania","*",0.01,0.32,"Cohousing",0.01525183
"g__Anaerotruncus","*",0.05,0.3,"Cohousing",0.050724919
"g__Oxalobacter","*",0.03,0.29,"Cohousing",0.103638627
"g__Flavonifractor","*",0.02,0.32,"Cohousing",0.024820893
"g__Bifidobacterium","*",0.07,0.34,"Cohousing",0.156784981
"g__Clostridiales_noname","**",0.11,0.36,"Cohousing",0.100843104
"g__Phascolarctobacterium","**",0.1,0.38,"Cohousing",0.243946964
