"Taxon_Shortname","LBL","CI_ID_low","CI_ID_high","Var.Exp","Var.Exp.NR"
"f__Propionibacteriaceae","",0,0.14,"Environment",0.925878202
"f__Eubacteriaceae","",0,0.14,"Environment",0.981287859
"f__Porphyromonadaceae","",0,0.15,"Environment",0.958384416
"f__Desulfovibrionaceae","",0,0.16,"Environment",0.868874324
"f__Actinomycetaceae","",0,0.13,"Environment",0.984671465
"f__Lachnospiraceae","",0,0.16,"Environment",0.944923351
"f__Oscillospiraceae","",0,0.24,"Environment",0.766296238
"f__Clostridiaceae","",0,0.2,"Environment",0.864449256
"f__Micrococcaceae","",0,0.2,"Environment",0.835250763
"f__Erysipelotrichaceae","",0,0.19,"Environment",0.893904181
"f__Streptococcaceae","",0,0.22,"Environment",0.826383702
"f__Prevotellaceae","",0,0.21,"Environment",0.716453112
"f__Ruminococcaceae","",0,0.22,"Environment",0.847896054
"f__Lactobacillaceae","",0,0.23,"Environment",0.755573597
"f__Methanobacteriaceae","",0,0.21,"Environment",0.878343754
"f__Peptostreptococcaceae","",0,0.26,"Environment",0.911085034
"f__Burkholderiales_noname","*",0,0.24,"Environment",0.663040245
"f__Veillonellaceae","*",0,0.23,"Environment",0.77981659
"f__Clostridiales_noname","*",0.04,0.29,"Environment",0.819890145
"f__Pasteurellaceae","*",0,0.23,"Environment",0.810967014
"f__Coriobacteriaceae","*",0,0.25,"Environment",0.711397063
"f__Sutterellaceae","*",0,0.31,"Environment",0.760740944
"f__Oxalobacteraceae","*",0.03,0.29,"Environment",0.73075828
"f__Enterobacteriaceae","*",0.04,0.3,"Environment",0.804502239
"f__Acidaminococcaceae","*",0.05,0.33,"Environment",0.527931761
"f__Bifidobacteriaceae","*",0.07,0.35,"Environment",0.628622674
"f__Bacteroidaceae","**",0.15,0.43,"Environment",0.605825358
"f__Verrucomicrobiaceae","**",0.17,0.43,"Environment",0.673552931
